# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# Thu Dec 18 15:15:06 2025
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[Thu Dec 18 15:13:08 2025]
0,,1,0:00.000.000,,,,,,<Host connected>,
0,,2,0:01.922.461,1.200 us,,,,,<Reset> / <Chirp K> / <Tiny K>,
0,,3,0:01.922.463,500 ns,,,,,<Reset> / <Target disconnected>,
0,FS,4,0:01.951.530,,,,,,<Full-speed>,
0,FS,5,0:01.951.531,5.516 us,,U,,,<Reset> / <Target disconnected>,
0,FS,6,0:01.951.537,,,,,,<Full-speed>,
0,FS,7,0:01.951.541,1.166 us,,U,,,<Reset> / <Target disconnected>,
0,FS,8,0:01.951.542,,,,,,<Full-speed>,
0,FS,9,0:01.954.542,197.708.650 ms,,,,,<Suspend>,
0,FS,10,0:02.152.250,12.513.466 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,11,0:02.164.764,,,,,,<Full-speed>,
0,FS,12,0:02.165.104,100.010.266 ms,,,,,[101 SOF],[Frames: 1861 - 1961] 
0,FS,13,0:02.265.116,142.500 us,18 B,,00,00,Get Device Descriptor,Index=0 Length=18
0,FS,36,0:02.268.258,246.139.050 ms,,T,,,<Suspend>,
0,FS,37,0:02.580.714,12.584.533 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,38,0:02.593.298,,,,,,<Full-speed>,
0,FS,39,0:02.594.025,29.005.583 ms,,,,,[30 SOF],[Frames: 372 - 401] 
0,FS,40,0:02.623.573,24.666 us,0 B,,00,00,Set Address,Address=03
0,FS,49,0:02.624.028,3.002.416 ms,,,,,[4 SOF],[Frames: 402 - 405] 
0,FS,50,0:02.626.912,173.583 us,8 B,,03,00,Get Device Descriptor,Index=0 Length=8
0,FS,73,0:02.627.782,148.416 us,18 B,,03,00,Get Device Descriptor,Index=0 Length=18
0,FS,96,0:02.628.029,2.083 us,,,,,[1 SOF],[Frame: 406] 
0,FS,97,0:02.628.104,122.750 us,2 B,,03,00,Get String Descriptor,Index=2 Length=2
0,FS,116,0:02.628.290,161.916 us,24 B,,03,00,Get String Descriptor,Index=2 Length=24
0,FS,139,0:02.628.587,141.833 us,2 B,,03,00,Get String Descriptor,Index=1 Length=2
0,FS,162,0:02.628.799,165.500 us,30 B,,03,00,Get String Descriptor,Index=1 Length=30
0,FS,185,0:02.629.029,2.083 us,,,,,[1 SOF],[Frame: 407] 
0,FS,186,0:02.629.081,143.750 us,2 B,,03,00,Get String Descriptor,Index=3 Length=2
0,FS,209,0:02.629.285,169.416 us,34 B,,03,00,Get String Descriptor,Index=3 Length=34
0,FS,232,0:02.629.574,147.500 us,9 B,,03,00,Get Configuration Descriptor,Index=0 Length=9
0,FS,255,0:02.630.029,2.083 us,,,,,[1 SOF],[Frame: 408] 
0,FS,256,0:02.629.773,267.250 us,94 B,,03,00,Get Configuration Descriptor,Index=0 Length=94
0,FS,275,0:02.631.029,3.002.500 ms,,,,,[4 SOF],[Frames: 409 - 412] 
0,FS,276,0:02.634.595,129.416 us,0 B,,03,00,Set Configuration,Configuration=1
0,FS,286,0:02.635.030,7.002.916 ms,,,,,[8 SOF],[Frames: 413 - 420] 
0,FS,287,0:02.642.492,143.833 us,2 B,,03,00,Get String Descriptor,Index=5 Length=2
0,FS,310,0:02.642.723,158.000 us,26 B,,03,00,Get String Descriptor,Index=5 Length=26
0,FS,333,0:02.643.030,2.083 us,,,,,[1 SOF],[Frame: 421] 
0,FS,334,0:02.643.034,164.500 us,28 B,,03,00,Get NTB Parameters,
0,FS,357,0:02.644.031,42.007.250 ms,,,,,[43 SOF],[Frames: 422 - 464] 
0,FS,358,0:02.686.161,18.250 us,16 B,,03,01,Connection Speed Change,Up=12000000 Down=12000000
0,FS,363,0:02.687.036,7.003.000 ms,,,,,[8 SOF],[Frames: 465 - 472] 
0,FS,364,0:02.694.162,12.916 us,8 B,,03,01,Network Connection,Disconnected
0,FS,369,0:02.695.037,157.021.333 ms,,,,,[158 SOF],[Frames: 473 - 630] 
0,FS,370,0:02.851.970,127.916 us,4 B,,03,00,Get String Descriptor,Index=0 Length=255
0,FS,389,0:02.853.056,35.006.333 ms,,,,,[36 SOF],[Frames: 631 - 666] 
0,FS,390,0:02.888.400,132.250 us,0 B,,03,00,Set Interface,Interface=1 Alt. Setting=1
0,FS,400,0:02.889.061,16.004.083 ms,,,,,[17 SOF],[Frames: 667 - 683] 
0,FS,401,0:02.905.519,150.000 us,0 B,,03,00,Set Interface,Interface=1 Alt. Setting=0
0,FS,411,0:02.906.063,4.002.583 ms,,,,,[5 SOF],[Frames: 684 - 688] 
0,FS,412,0:02.702.163,208.043.833 ms,16 B,,03,01,Connection Speed Change,Up=12000000 Down=12000000
0,FS,418,0:02.911.063,7.002.916 ms,,,,,[8 SOF],[Frames: 689 - 696] 
0,FS,419,0:02.918.189,12.916 us,8 B,,03,01,Network Connection,Disconnected
0,FS,424,0:02.901.133,3.571.166 ms,,,03,02,[335 IN-NAK],[Periodic Timeout]
0,FS,425,0:02.919.064,1.999.247.083 s,,,,,[2000 SOF],[Frames: 697 - 648] [Periodic Timeout]
0,FS,426,0:02.926.190,1.992.248.166 s,,,03,01,[250 IN-NAK],[Periodic Timeout]
0,FS,427,0:04.919.310,1.546.191.500 s,,,,,[1547 SOF],[Frames: 649 - 147] 
0,FS,428,0:04.926.435,1.536.192.250 s,,,03,01,[193 IN-NAK],
0,,429,0:06.465.499,,,,,,Capture stopped,[Thu Dec 18 15:13:15 2025]
